"","EntityId","Symbol","Name","PriceSourceUser","Repno","IssueId","Date1","Date2","LogChange1","LogChange2","Close1","Close2","SplitFactor1","SplitFactor2","Multiplier","VolumeSpike","Recommendation"
"146",1094866,"SLSC.L","Standard Life UK Smaller Companies Trust","YahooAndEODData","",NA,2013-07-09,2013-07-19,4.59974957,-4.594402,117.75,122.31,1,1,100,-4.2,"E"
"147",1094866,"SLSC.L","Standard Life UK Smaller Companies Trust","YahooAndEODData","",NA,2013-07-19,2013-07-22,-4.594402,4.610796,122.31,123,1,1,100,0.4,"E"
"148",1094866,"SLSC.L","Standard Life UK Smaller Companies Trust","YahooAndEODData","",NA,2013-07-22,2013-08-09,4.610796,-4.593129,123,124.49,1,1,100,-1.3,"E"
"149",1094866,"SLSC.L","Standard Life UK Smaller Companies Trust","YahooAndEODData","",NA,2013-08-09,2013-08-12,-4.593129,4.593129,124.49,123,1,1,100,-2.6,"E"
"150",1094866,"SLSC.L","Standard Life UK Smaller Companies Trust","YahooAndEODData","",NA,2013-08-15,2013-09-23,4.61826372,-4.61783075,123,122.44,1,1,100,0.2,"E"
"151",1094866,"SLSC.L","Standard Life UK Smaller Companies Trust","YahooAndEODData","",NA,2013-09-30,2013-10-09,4.615282,-4.61983,123.25,121.21,1,1,100,-1.4,"E"
"152",1094866,"SLSC.L","Standard Life UK Smaller Companies Trust","YahooAndEODData","",NA,2013-10-11,2013-10-28,4.61983,-4.616453,123,121.62,1,1,100,-0.1,"E"
"153",1094866,"SLSC.L","Standard Life UK Smaller Companies Trust","YahooAndEODData","",NA,2013-11-27,2013-11-28,-4.611299,4.611299,122,122.75,1,1,100,-0.9,"E"
"154",307622,"SLTC","Selectica Inc","ReutersAndEODData","A2313",1,2000-03-22,2000-04-14,0.457968324,-0.5492771,118.984383,31.25,0.049999997,0.049999997,1.66666666666667,-4.6,"I"
"155",307858,"SMDI","Sirenza Microdevices, Inc.","ReutersAndEODData","A2407",1,2001-02-23,2001-06-29,-0.409095138,0.477844656,8.59375,16.9,1,1,1.54166666666667,0.3,"I"
