EntityId,Symbol,Date,PrevDate,Close,AdjClose,PrevAdjClose,LogChange,AbsChange,VolScore,VolumeSpike,AdjVolume,AvgVolume,StdevVolume
1090372,0APM.L,12/19/2008,6/27/2008,7.5598998069763184,7.5599,23.165,-1.11978471,3.0641944504076672,2.8175787895253159,-0.35540547875773337,0,2302.3670610827221,6478.1417245741441
1090442,0EEE.L,8/9/2011,6/23/2011,20.399999618530273,20.4,46.435,-0.822518647,2.2762256320943197,3.5970572325264643,0.5889261838409614,9302,1373.9309044823947,13461.906284775696
1090443,0EEI.L,3/31/2008,3/28/2008,21.033626556396484,21.0336266,78.8763,-1.32175839,3.7500095606020949,55.527565561304648,-0.2990186303180325,119,1793.8265402082582,5601.0775597056727
1090450,0EKA.L,11/26/2013,9/23/2013,4.38070011138916,4.3807,1.6,1.00720489,2.7379374740618063,3.4103514710260958,-0.15559725317905296,3737,51169.273463752943,304840.04373245867
1090473,0F08.L,5/25/2009,3/11/2009,73,73,275,-1.32631171,3.7671234797133923,2.9341710061220576,-0.10737390838719081,49,668.357102559676,5768.2272338105777
1090566,0GQU.L,4/25/2012,11/28/2011,45.5,45.5,14.7,1.12986481,3.0952380324823405,4.1416749860258975,-0.26660853350379654,221,898.5330784780798,2541.303046732492
1090602,0H19.L,9/23/2013,9/19/2013,58,58,150,-0.950192332,2.5862070225463603,204.11364698501308,-0.11455999964487013,368,487.5628055800974,1043.6697446817013
1090660,0HDP.L,12/19/2008,6/20/2008,164.04750061035156,164.0475,540.1071,-1.19161153,3.2923827026985477,3.0229167862424458,-0.047793756831155457,0,1245.8459333313353,26067.127088013345
1090857,0LOC.L,7/5/2013,7/4/2013,2.4714000225067139,2.4714,5.9919,-0.885623753,2.4244962068910496,24.09731165444742,-0.097208627490823207,1000,8250.7597386548714,74589.673013739084
1090919,0MGI.L,3/27/2013,3/26/2013,11.320799827575684,11.3208,47.4508,-1.43305171,4.1914708283707416,57.640069158556535,0.44663817263422678,10150,2117.9865828648126,17983.266790124955
1090978,0MM6.L,12/9/2011,12/1/2011,1.8375999927520752,1.8376,0.0212,4.46221447,86.679245301459545,11.877163775401863,-0.050863084745888715,2330,26889.91984950862,482863.35703407781
1090978,0MM6.L,12/18/2013,11/29/2013,3,3,0.37,2.09286451,8.10810771393439,3.3860540943480961,-0.04403961111912405,41,531.84869675488937,11145.618325901611
1091074,0NDD.L,12/8/2011,11/9/2011,21.579999923706055,21.58,60.88,-1.03713775,2.8211306570512167,4.0271192900438786,0.74023436634579376,560,183.2349935914678,508.98070062384789
1091137,0NQC.L,8/2/2011,8/1/2011,47.252101898193359,47.2521,147.075,-1.13544548,3.1125598034880619,22.673983134451,0.32803181579139412,34992,7819.3539705774238,82835.398035605569
1091182,0NW1.L,6/17/2013,6/11/2013,13.950200080871582,13.9502,40.7612,-1.07223678,2.9219078504075036,9.9744688466704314,-0.22968481362017068,3,874.02108127221311,3792.24497929854
1091197,0NX2.L,2/1/2011,1/31/2011,21.56651496887207,21.566515,153.545,-1.96285188,7.1196024057875409,147.76331523679457,0.298576892353457,21030,7429.7978210991432,45550.082833606764
1091663,60LU.L,8/2/2012,7/24/2012,9902.39453125,9902.395,9.6744,6.931049,1023.5670056057174,32.712714928936194,-0.14946821967367013,1534,2590.3892505849904,7067.6512565104213
1091782,70SG.L,8/13/2009,7/8/2009,9380,9380,88.49,4.66344547,106.0006761343095,175.46394740414507,0.021191315676421334,140000,135558.43414960883,209593.68064782824
1091829,76AH.L,11/7/2011,9/21/2011,1.0700000524520874,1.07,99.95,-4.537011,93.411190112692978,19.340283587787216,-0.14411226748948683,129000,181238.10504632964,362482.01458727638
1193792,ACYD,8/2/2010,7/30/2010,1,1,0.35,1.04982209,2.8571427644502778,11.466747445409984,-0.10596369318445412,400,651.30840414226964,2371.6463308315397
1007026,AHY,10/3/2008,5/8/2008,9.8000001907348633,9.8,25,-0.9364934,2.5510202999167335,4.3206837359334571,0.039964645885359897,1500,1305.4454401253972,4868.1667399903881
1010266,ALSSF,2/7/2007,2/5/2007,1.6000000238418579,1.6,6.3,-1.3705461,3.9375003873399748,11.814347418025346,-0.22089997867652769,100,577.6684519586554,2162.374368800296
1193803,ANX,12/23/1999,12/22/1999,25.781251907348633,25.7812519,10.5,0.8982723,2.4553572645279638,6.7820638698304148,-0.084995041854069323,2512,4341.3376574751865,21522.874953294737
1193803,ANX,12/22/1999,12/17/1999,10.5,10.5,2.25,1.540445,4.6666663361909455,6.7361038710525882,0.03319384280845291,5025,4314.0483420238133,21418.178729072632
1092280,AT03.L,8/14/2012,8/13/2012,29.850000381469727,29.85,1568.25,-3.96153069,52.53768309842247,189.55873161748133,-0.15350371023480139,6000,13183.368755582349,46796.059486735336
1092280,AT03.L,8/16/2012,8/14/2012,129,129,29.85,1.46362758,4.3216080933781411,49.521792442941795,-0.1532091357884118,6000,13108.9215123518,46400.114952475924
1193806,ATA,2/26/2008,12/28/2007,10,10,0.43,3.14655519,23.255814465800437,6.1606576824384822,-0.30893300654297656,200,10250.287030011938,32532.253974661697
1193806,ATA,12/20/1999,12/16/1999,1.6299999952316284,1.63,0.5,1.18172717,3.2599999203438492,4.8577920183819794,0.986712840808656,27000,5776.0598429630218,21509.74354366666
1092281,ATAD.L,5/8/2009,5/7/2009,22.049999237060547,22.05,73.9,-1.2094003,3.3514741580082026,22.948801235772759,0.6615267521875503,219218,92589.861577062242,191418.01598227315
