EntityId,Symbol,Name,PriceSourceUser,Repno,IssueId,Date1,Date2,LogChange1,LogChange2,Close1,Close2,SplitFactor1,SplitFactor2,Multiplier,VolumeSpike
1095100,TOPC.L,Top Creation Investments Ltd,YahooAndEODData,D0D60,1,4/18/2011,7/22/2011,0.490622938,-0.5596158,9.8,6,1,1,1.7083333333333333,-2.1
1075041,TPRP,Tower Properties,YahooAndEODData,,,1/12/2009,1/20/2009,0.664448,-0.6542711,16519.0488,5813.32959,1,1,1.9166666666666667,0
1095121,TR27.L,TREASURY 4.25% STK 7/12/2027,ManualPriceEntry,,,8/21/2009,8/24/2009,0.904651344,-0.9013381,253.9,103.09,1,1,2.4583333333333335,0.2
308376,TSYS,"TeleCommunication Systems, Inc.",ReutersAndEODData,A2625,1,10/17/2000,12/21/2000,0.483426869,-0.4372143,15,3.875,1,1,1.5833333333333333,-1.6
308376,TSYS,"TeleCommunication Systems, Inc.",ReutersAndEODData,A2625,1,12/21/2000,1/12/2001,-0.4372143,0.454554915,3.875,5.21875,1,1,1.5416666666666667,-0.8
310866,TUPY4,Tupy SA,ReutersAndEODData,A52DA,4,8/23/2007,12/5/2007,0.356674641,-0.431523144,20,13.51,1,1,1.5,-1.3
320789,TYTT,Typhoon Touch Technologies Inc(NDA),ReutersAndEODData,B1993,1,1/18/2008,1/29/2008,0.6931472,-0.6208265,8,2.15,254.06665,254.06665,1.9166666666666667,-0.7
306169,UBID,"uBid, Inc.",ReutersAndEODData,A1D3D,1,12/22/1998,12/24/1998,0.469260246,-0.435500175,134.5,121.625,1,1,1.5833333333333333,-1
315913,VALSIMESA,Valores Simesa S.A.,ReutersAndEODData,ABF67,1,7/6/2001,7/17/2001,1.36404872,-1.16686976,978,302,1,1,3.5416666666666665,-0.8
307746,VMII,Voice Mobility Intl,ReutersAndEODData,A2397,1,3/3/2000,3/6/2000,-0.374693453,0.4205028,5.5,8.375,0.04,0.04,1.5,-0.4
1095286,VO25.L,VODAFONE GROUP 5.625% NTS 4/12/25 GBP(VAR),ManualPriceEntry,,,7/5/2012,7/10/2012,-0.54409343,0.548369467,71.51,123.743,133.333328,133.333328,1.7083333333333333,-0.4
1101781,WAR.L,War,ManualPriceEntry,,,11/25/2011,11/28/2011,-0.407816052,0.454341084,60.471,95.25,1,1,1.5416666666666667,-0.1
307516,WEBM,"webMethods, Inc.",ReutersAndEODData,A22A4,1,4/13/2000,4/18/2000,-0.44134,0.471868128,90.6875,98.98438,1,1,1.5833333333333333,-1.5
307514,WITS,Witness Systems Inc,ReutersAndEODData,A22A2,1,4/14/2000,4/18/2000,-0.376476854,0.4455854,6.5625,11.125,2.83333349,2.83333349,1.5,-1.9
308413,WJCI,TriQuint WJ Inc,ReutersAndEODData,A264B,1,3/13/2001,4/19/2001,-0.370859325,0.412109643,3.0625,6.04,1,1,1.5,0.2
1095468,XGSD.L,DB X-Trackers Dbx Stoxx Global,YahooAndEODData,,,12/6/2013,12/9/2013,-0.487157226,0.494709373,1863.5,1867,1,1,1.625,0.3
1095468,XGSD.L,DB X-Trackers Dbx Stoxx Global,YahooAndEODData,,,12/9/2013,12/10/2013,0.494709373,-0.497933418,1867,1858,1,1,1.625,-0.2
1095468,XGSD.L,DB X-Trackers Dbx Stoxx Global,YahooAndEODData,,,12/11/2013,12/17/2013,0.489061981,-0.489721835,1850,1857.5,1,1,1.625,-3.4
1095468,XGSD.L,DB X-Trackers Dbx Stoxx Global,YahooAndEODData,,,12/17/2013,12/20/2013,-0.489721835,0.5018656,1857.5,1879,1,1,1.625,-1
1095624,XSIR.L,DB X-Trackers Dbx Stoxx Europe,YahooAndEODData,,,7/4/2012,8/1/2012,-3.02030826,3.2735703,98.27,2019.1084,1,1,23.333333333333332,0.1
1101793,XTR.L,Xtract Energy Plc,YahooAndEODData,,,7/31/2012,8/6/2012,-1.71973944,1.673944,0.5778,3.0815,1,1,5.416666666666667,0
